date,close
2020-03-09,0
2020-03-10,267
2020-03-11,366
2020-03-12,442
2020-03-13,568
2020-03-14,572
2020-03-15,643
2020-03-16,904
2020-03-17,1076
2020-03-18,1014
2020-03-19,1376
2020-03-20,1524
2020-03-21,1793
2020-03-22,1996
2020-03-23,1996
