date,close
2020-03-09,0
2020-03-10,144
2020-03-11,177
2020-03-12,221
2020-03-13,282
2020-03-14,340
2020-03-15,426
2020-03-16,557
2020-03-17,698
2020-03-18,751
2020-03-19,952
2020-03-20,1177
2020-03-21,1364
2020-03-22,1642
2020-03-23,1642
